id,producer,consumer,interface,status,earliest_gate
DA-01,P01,P06,Value::Object opaque input,IMPLEMENTED,P01
DA-01A,P06,P07,ObjectRef VmId SlotId Generation identity bridge,CONTRACTED,P06
DA-02,P06,P07,ObjectId RootSet HostHandle AllocationLedger,CONTRACTED,P06
DA-03,P05,P07,VerifiedModule RVLU_V2,IMPLEMENTED,P05
DA-04,P05,P07,RVLU_V2 short-circuit CFG and Power BinaryOp,IMPLEMENTED,P05
DA-05,P05,P07,assignment snapshots and NumericForPrepare/NumericForNext,IMPLEMENTED,P05
DA-06,P05,P08,NewTable GetTable SetTable verified operands,IMPLEMENTED,P05
DA-07,P05,P08,table array Integer 1-based keys,IMPLEMENTED,P05
DA-08,P08,P10,raw table ObjectId trace/write contract,CONTRACTED,P08
DA-09,P05,P09,prototype parameter_count is_variadic named_vararg,IMPLEMENTED,P05
DA-10,P09,P10,CallFrame Closure UpvalueState,CONTRACTED,P09
DA-11,P05,P11,Call(All) Close Return(All) pending-close contract,IMPLEMENTED,P05
DA-12,P05,P10,verified operation and FrameLayout metadata,IMPLEMENTED,P05
DA-13,P10,P11,PendingOp roots and cleanup state,CONTRACTED,P10
DA-14,P04,P05,GenericForClose binding closing register ClosePath,IMPLEMENTED,P05
DA-15,P11,P12,error coroutine close-stack roots,CONTRACTED,P11
DA-16,P05,P12,InstructionEffects safepoint/root input; P12 owns Trace write_ref barrier,CONTRACTED,P12
DA-17,P05,P06,fail-fast PASS FAIL JSON gate convention,IMPLEMENTED,P05
DA-18,P05,P20,InstructionEffects canonical RVLU_V2 flags,IMPLEMENTED,P05
DA-19,P12,P13,runtime root fuel table frame effect contracts,CONTRACTED,P13
DA-20,P05,P14,RVLU_V2 language payload VerifiedModule,CONTRACTED,P14
DA-21,P14,P16,SDK wrapper container policy,CONTRACTED,P14
DA-22,P14,P15,approved runtime stdlib SDK gates,CONTRACTED,P15
DA-23,P14,P16,C ABI trampoline SDK module contract,CONTRACTED,P16
DA-24,P16,P17,complete oracle ABI evidence,CONTRACTED,P17
DA-25,P16,P18,ecosystem package ABI policy,CONTRACTED,P18
DA-26,P05,P19,RVLU_V2 format_version profile numeric_config,CONTRACTED,P19
DA-27,P05,P20,InstructionEffects and VerifiedModule,CONTRACTED,P20
DA-28,P05,P21,verified module format profile numeric_config,CONTRACTED,P21
DA-29,P05,P22,effect safe points language/runtime separation,CONTRACTED,P22
DA-30,P05,P23,RVLU_V2 decoder verifier fuzz target,CONTRACTED,P23
DA-31,P05,P24,VerifiedModule format_version release identity,CONTRACTED,P24
